Date,Day_type
2024-01-01,Low
2024-01-02,Low
2024-01-03,Medium
2024-01-04,Medium
2024-01-05,Low
2024-01-06,Low
2024-01-07,Low
2024-01-08,Low
2024-01-09,Low
2024-01-10,Low
2024-01-11,Low
2024-01-12,Low
2024-01-13,Low
2024-01-14,Low
2024-01-15,Medium
2024-01-16,Medium
2024-01-17,Medium
2024-01-18,Medium
2024-01-19,Low
2024-01-20,Low
2024-01-21,Low
2024-01-22,Low
2024-01-23,Low
2024-01-24,Medium
2024-01-25,Medium
2024-01-26,Medium
2024-01-27,Medium
2024-01-28,Medium
2024-01-29,Medium
2024-01-30,Low
2024-01-31,Low
2024-02-01,Medium
2024-02-02,Medium
2024-02-03,Low
2024-02-04,Medium
2024-02-05,Low
2024-02-06,Medium
2024-02-07,Low
2024-02-08,Medium
2024-02-09,Medium
2024-02-10,Low
2024-02-11,Low
2024-02-12,Medium
2024-02-13,Medium
2024-02-14,Medium
2024-02-15,Medium
2024-02-16,Medium
2024-02-17,Medium
2024-02-18,Medium
2024-02-19,Medium
2024-02-20,Medium
2024-02-21,Medium
2024-02-22,Medium
2024-02-23,Low
2024-02-24,Low
2024-02-25,Medium
2024-02-26,Low
2024-02-27,Low
2024-02-28,Low
2024-02-29,Low
2024-03-01,Low
2024-03-02,Low
2024-03-03,Low
2024-03-04,Medium
2024-03-05,Low
2024-03-06,Low
2024-03-07,Low
2024-03-08,Low
2024-03-09,Low
2024-03-10,Low
2024-03-11,Medium
2024-03-12,Medium
2024-03-13,Medium
2024-03-14,Medium
2024-03-15,Medium
2024-03-16,Medium
2024-03-17,Medium
2024-03-18,Medium
2024-03-19,Medium
2024-03-20,Medium
2024-03-21,Medium
2024-03-22,Medium
2024-03-23,Medium
2024-03-24,Medium
2024-03-25,Medium
2024-03-26,Low
2024-03-27,Medium
2024-03-28,Medium
2024-03-29,Low
2024-03-30,Low
2024-03-31,Low
2024-04-01,Low
2024-04-02,Medium
2024-04-03,Medium
2024-04-04,Medium
2024-04-05,Medium
2024-04-06,Medium
2024-04-07,Medium
2024-04-08,Medium
2024-04-09,Medium
2024-04-10,Medium
2024-04-11,Medium
2024-04-12,Medium
2024-04-13,High
2024-04-14,High
2024-04-15,High
2024-04-16,High
2024-04-17,Medium
2024-04-18,Medium
2024-04-19,Medium
2024-04-20,Medium
2024-04-21,Medium
2024-04-22,Medium
2024-04-23,Medium
2024-04-24,Medium
2024-04-25,Medium
2024-04-26,Medium
2024-04-27,Medium
2024-04-28,Medium
2024-04-29,Medium
2024-04-30,Medium
2024-05-01,Medium
2024-05-02,Medium
2024-05-03,Medium
2024-05-04,Medium
2024-05-05,Medium
2024-05-06,Medium
2024-05-07,Medium
2024-05-08,Medium
2024-05-09,High
2024-05-10,High
2024-05-11,High
2024-05-12,High
2024-05-13,High
2024-05-14,Medium
2024-05-15,Medium
2024-05-16,Medium
2024-05-17,Medium
2024-05-18,Medium
2024-05-19,Medium
2024-05-20,Medium
2024-05-21,Medium
2024-05-22,Medium
2024-05-23,Medium
2024-05-24,High
2024-05-25,High
2024-05-26,High
2024-05-27,High
2024-05-28,High
2024-05-29,High
2024-05-30,High
2024-05-31,High
2024-06-01,High
2024-06-02,High
2024-06-03,High
2024-06-04,High
2024-06-05,High
2024-06-06,High
2024-06-07,High
2024-06-08,High
2024-06-09,High
2024-06-10,Medium
2024-06-11,Medium
2024-06-12,Medium
2024-06-13,High
2024-06-14,High
2024-06-15,High
2024-06-16,High
2024-06-17,High
2024-06-18,High
2024-06-19,High
2024-06-20,Medium
2024-06-21,High
2024-06-22,High
2024-06-23,High
2024-06-24,High
2024-06-25,High
2024-06-26,High
2024-06-27,High
2024-06-28,High
2024-06-29,High
2024-06-30,High
2024-07-01,High
2024-07-02,High
2024-07-03,High
2024-07-04,High
2024-07-05,High
2024-07-06,High
2024-07-07,High
2024-07-08,High
2024-07-09,High
2024-07-10,High
2024-07-11,High
2024-07-12,High
2024-07-13,High
2024-07-14,High
2024-07-15,High
2024-07-16,High
2024-07-17,High
2024-07-18,High
2024-07-19,High
2024-07-20,High
2024-07-21,High
2024-07-22,High
2024-07-23,High
2024-07-24,Worst_day
2024-07-25,High
2024-07-26,High
2024-07-27,High
2024-07-28,High
2024-07-29,High
2024-07-30,High
2024-07-31,High
2024-08-01,High
2024-08-02,High
2024-08-03,High
2024-08-04,High
2024-08-05,High
2024-08-06,High
2024-08-07,High
2024-08-08,High
2024-08-09,High
2024-08-10,High
2024-08-11,High
2024-08-12,High
2024-08-13,High
2024-08-14,High
2024-08-15,High
2024-08-16,High
2024-08-17,High
2024-08-18,High
2024-08-19,High
2024-08-20,High
2024-08-21,High
2024-08-22,High
2024-08-23,High
2024-08-24,High
2024-08-25,High
2024-08-26,High
2024-08-27,High
2024-08-28,High
2024-08-29,High
2024-08-30,High
2024-08-31,High
2024-09-01,High
2024-09-02,High
2024-09-03,High
2024-09-04,High
2024-09-05,High
2024-09-06,High
2024-09-07,High
2024-09-08,High
2024-09-09,High
2024-09-10,High
2024-09-11,High
2024-09-12,High
2024-09-13,Medium
2024-09-14,High
2024-09-15,High
2024-09-16,High
2024-09-17,High
2024-09-18,High
2024-09-19,Medium
2024-09-20,Medium
2024-09-21,High
2024-09-22,High
2024-09-23,Medium
2024-09-24,Medium
2024-09-25,High
2024-09-26,High
2024-09-27,Medium
2024-09-28,Medium
2024-09-29,Medium
2024-09-30,High
2024-10-01,High
2024-10-02,High
2024-10-03,High
2024-10-04,Medium
2024-10-05,High
2024-10-06,High
2024-10-07,Medium
2024-10-08,Medium
2024-10-09,Medium
2024-10-10,Medium
2024-10-11,Medium
2024-10-12,Medium
2024-10-13,Medium
2024-10-14,Medium
2024-10-15,Medium
2024-10-16,Medium
2024-10-17,Medium
2024-10-18,Medium
2024-10-19,Medium
2024-10-20,Medium
2024-10-21,Medium
2024-10-22,Medium
2024-10-23,Medium
2024-10-24,Medium
2024-10-25,Medium
2024-10-26,Medium
2024-10-27,Medium
2024-10-28,Medium
2024-10-29,Medium
2024-10-30,Medium
2024-10-31,Medium
2024-11-01,Medium
2024-11-02,Medium
2024-11-03,Medium
2024-11-04,Medium
2024-11-05,Medium
2024-11-06,Medium
2024-11-07,Medium
2024-11-08,Medium
2024-11-09,Medium
2024-11-10,Medium
2024-11-11,Medium
2024-11-12,Medium
2024-11-13,Low
2024-11-14,Medium
2024-11-15,Medium
2024-11-16,Medium
2024-11-17,Medium
2024-11-18,Medium
2024-11-19,Medium
2024-11-20,Medium
2024-11-21,Medium
2024-11-22,Medium
2024-11-23,Medium
2024-11-24,Medium
2024-11-25,Medium
2024-11-26,Low
2024-11-27,Low
2024-11-28,Low
2024-11-29,Medium
2024-11-30,Medium
2024-12-01,Medium
2024-12-02,Medium
2024-12-03,Medium
2024-12-04,Medium
2024-12-05,Medium
2024-12-06,Medium
2024-12-07,Medium
2024-12-08,Low
2024-12-09,Low
2024-12-10,Low
2024-12-11,Low
2024-12-12,Low
2024-12-13,Low
2024-12-14,Low
2024-12-15,Low
2024-12-16,Low
2024-12-17,Low
2024-12-18,Low
2024-12-19,Medium
2024-12-20,Low
2024-12-21,Low
2024-12-22,Low
2024-12-23,Low
2024-12-24,Low